b60be8889f,	,Prace Fen,	,Wed Feb 6 09:48:55 2013,	,Remove some gems because they are never used in this project.,	,Remove-some-gems-because-they-are-never-used-in-this-project
e2b99f5d33,	,Robin Ward,	,Wed Feb 6 10:02:23 2013,	,Merge pull request #34 from mharen/master,	,Merge-pull-request-34-from-mharen-master
0b6b63f24a,	,Robin Ward,	,Wed Feb 6 10:08:02 2013,	,Merge pull request #22 from sandal/patch-1,	,Merge-pull-request-22-from-sandal-patch-1
8d568b05c4,	,Robin Ward,	,Wed Feb 6 11:55:54 2013,	,Don't enable Cache-Control if the site has restricted access.,	,Don-t-enable-Cache-Control-if-the-site-has-restricted-access
6043a370ad,	,Robin Ward,	,Wed Feb 6 12:07:22 2013,	,Oops, that should be 1.minute,	,Oops-that-should-be-1.minute
77908ed3d8,	,Ben Doerr,	,Wed Feb 6 12:39:15 2013,	,Split -vendor-placeholder selector by vendor.,	,Split-vendor-placeholder-selector-by-vendor
2ce69c73eb,	,Robin Ward,	,Wed Feb 6 14:27:11 2013,	,Use double quotes in image uploads instead of single quotes. Our sanitizer seems to hate single quotes.,	,Use-double-quotes-in-image-uploads-instead-of-single-quotes.-Our-sanitizer-seems-to
de871ccf8a,	,Bruno Bonamin,	,Wed Feb 6 14:46:45 2013,	,Fixed minor typo in lib/guardian.rb,	,Fixed-minor-typo-in-lib-guardian.rb
9f1c978f11,	,Charles Oppenheimer,	,Wed Feb 6 14:47:39 2013,	,initial rake db:migrate was failing if hstore was already set,	,initial-rake-db-migrate-was-failing-if-hstore-was-already-set
f1a3e76d2b,	,Robin Ward,	,Wed Feb 6 15:29:03 2013,	,Support for replacing Site Message content with keys specific to a multisite.,	,Support-for-replacing-Site-Message-content-with-keys-specific-to-a-multisite
2d2b907d2c,	,Robin Ward,	,Wed Feb 6 15:47:36 2013,	,Temporary Nuclear option on topic titles - disallow non ascii characters so we can stay on top of the trolls. This is meant to be replaced soon with a more permissive and safe method of sanitizing.,	,Temporary-Nuclear-option-on-topic-titles-disallow-non-ascii-characters-so-we
8c54a97800,	,Robin Ward,	,Wed Feb 6 16:20:54 2013,	,Merge pull request #33 from sebasoga/remove_empty_helpers,	,Merge-pull-request-33-from-sebasoga-remove_empty_helpers
c77dea41b8,	,Robin Ward,	,Wed Feb 6 16:22:13 2013,	,Merge pull request #7 from mutewinter/fix_at_dot,	,Merge-pull-request-7-from-mutewinter-fix_at_dot
c24e1122b6,	,Robin Ward,	,Wed Feb 6 16:24:38 2013,	,Merge pull request #39 from bendoerr/patch-1,	,Merge-pull-request-39-from-bendoerr-patch-1
c4b1c10955,	,Robin Ward,	,Wed Feb 6 16:27:39 2013,	,Merge pull request #25 from mlinksva/patch-1,	,Merge-pull-request-25-from-mlinksva-patch-1
96e67002ac,	,Robin Ward,	,Wed Feb 6 16:28:56 2013,	,Merge pull request #44 from bbonamin/patch-1,	,Merge-pull-request-44-from-bbonamin-patch-1
c18a23f63c,	,Charles Oppenheimer,	,Wed Feb 6 16:37:38 2013,	,Fixed typo in EXISTS sql,	,Fixed-typo-in-EXISTS-sql
77a924eadc,	,Robin Ward,	,Wed Feb 6 17:26:31 2013,	,Revert "Merge pull request #22 from sandal/patch-1",	,Revert-Merge-pull-request-22-from-sandal-patch-1
94e58d733e,	,Robin Ward,	,Wed Feb 6 17:36:07 2013,	,Add moderator style while in topic,	,Add-moderator-style-while-in-topic
653c146a4b,	,Steve Klabnik,	,Wed Feb 6 17:59:25 2013,	,Fix typo on AUTHORS.md,	,Fix-typo-on-AUTHORS.md
19a0efee31,	,Sam,	,Wed Feb 6 18:00:45 2013,	,Update README.md,	,Update-README.md
204a8a8b52,	,Robin Ward,	,Wed Feb 6 18:01:52 2013,	,Merge pull request #47 from steveklabnik/patch-1,	,Merge-pull-request-47-from-steveklabnik-patch-1
f79f0e740a,	,Sam Saffron,	,Wed Feb 6 18:45:58 2013,	,Don't allow users to double flag stuff Correct seed fu to match model,	,Don-t-allow-users-to-double-flag-stuff
471c61fd69,	,Neil Lalonde,	,Wed Feb 6 19:25:21 2013,	,Add honeypot and challenge to signup form,	,Add-honeypot-and-challenge-to-signup-form
1c29b040c5,	,Aaron Chambers,	,Wed Feb 6 19:46:57 2013,	,A tiny typo fix.  It all adds up...,	,A-tiny-typo-fix.-It-all-adds-up
415f810089,	,Robin Ward,	,Wed Feb 6 19:47:56 2013,	,Merge pull request #48 from achambers/patch-1,	,Merge-pull-request-48-from-achambers-patch-1
7cdf1266ad,	,Sam Saffron,	,Wed Feb 6 20:32:29 2013,	,remove unused var,	,remove-unused-var
554ba7b676,	,Sam Saffron,	,Wed Feb 6 20:32:39 2013,	,Merge branch 'master' of github.com:discourse/discourse,	,Merge-branch-master-of-github.com-discourse-discourse
54260fd766,	,Sam,	,Wed Feb 6 20:34:02 2013,	,Merge pull request #45 from choppen5/fix_migration_hstore,	,Merge-pull-request-45-from-choppen5-fix_migration_hstore
0f5bef61dc,	,Sam Saffron,	,Wed Feb 6 20:50:08 2013,	,Merge branch 'master' of github.com:discourse/discourse,	,Merge-branch-master-of-github.com-discourse-discourse
ee8d68842e,	,Dan Neumann,	,Wed Feb 6 20:52:14 2013,	,Strip leading and trailing slug punctuation.,	,Strip-leading-and-trailing-slug-punctuation
40da901e5d,	,Robin Ward,	,Wed Feb 6 20:09:31 2013,	,Introduction of TextSentinel to enforce title and body quality.,	,Introduction-of-TextSentinel-to-enforce-title-and-body-quality
7d7d8c7d4f,	,Robin Ward,	,Wed Feb 6 20:59:07 2013,	,Merge branch 'master' of github.com:discourse/discourse,	,Merge-branch-master-of-github.com-discourse-discourse
c7461622a9,	,Sam Saffron,	,Wed Feb 6 23:15:48 2013,	,admins can now clear flags inline,	,admins-can-now-clear-flags-inline
7b123e12dd,	,Sam Saffron,	,Thu Feb 7 00:00:40 2013,	,improving flag handling, links and delete button,	,improving-flag-handling-links-and-delete-button
8f4417f962,	,Sam Saffron,	,Thu Feb 7 00:00:55 2013,	,Merge branch 'master' of github.com:discourse/discourse,	,Merge-branch-master-of-github.com-discourse-discourse
d5a2518fef,	,Elliot Murphy,	,Thu Feb 7 00:39:11 2013,	,Merge remote-tracking branch 'discourse/master',	,Merge-remote-tracking-branch-discourse-master
98bf443d82,	,Elliot Murphy,	,Thu Feb 7 00:41:27 2013,	,Fix guard warning with version spec for rb-notify.,	,Fix-guard-warning-with-version-spec-for-rb-notify
bfa7a5fd67,	,Elliot Murphy,	,Thu Feb 7 00:42:47 2013,	,Increase timeout for spork startup.,	,Increase-timeout-for-spork-startup
43d4eb681e,	,Elliot Murphy,	,Thu Feb 7 01:10:46 2013,	,Fix Guardfile warning about deprecated :version arg.,	,Fix-Guardfile-warning-about-deprecated-version-arg
f54e530a3e,	,Elliot Murphy,	,Thu Feb 7 01:13:24 2013,	,Tuneups of Vagrant,	,Tuneups-of-Vagrant
